台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""実は私、
これで月15万稼いでます""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.10%,1.49%,6.52%,6,0.097%
"結論、会社辞めても生きていけます
日曜日の夜、またあの職場かって思うと寝れなくて
""でも一人暮らしで
収入ゼロになるのが怖くて辞めれなかった""
""そんな時
SNSで見かけたAI副業""
""試してみたら
3ヶ月で会社の給料より稼げるようになって""
""今では2年間働かなくても
毎月50万貰えてる""
""でも実際AIって難しそうで、
どこで勉強すればいいか分かりませんでした""
""そこで出会ったのが
この無料セミナー""
私も実際に参加してみたら
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れたから""
控えめに言って神でした
実際に、参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営してるセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしい""
しかも今だけ参加者限定で
""「AI副業案件集」などの豪華12大特典がもらえるから
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了らしいんで
""AI身につけたい人は
今すぐ無料セミナーだけでも予約してみてください""",0.32%,2.63%,12.20%,5,0.321%
"""実は私、
これで月15万稼いでます""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.10%,1.76%,5.62%,5,0.099%
"""副業ガチ勢は
もうChatGPTなんか使ってません。""
今使うべきAIは、これ。
""1つ目がGemini
Googleが開発した最強のAIで、ChatGPTより多くの情報を処理することができ、1時間の動画をたった5分で要約できる""
""2つ目はGrok
Xの最新投稿をもとに鮮度の高い情報を知れて、10分で最新トレンドの収集や分析ができる""
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
そこで日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声も""
""今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.04%,1.07%,3.91%,5,0.042%
"もう節約に疲れちゃった...値段ばっかり気にして 
 わかる...
 たまには値段見ないで、好きなもの買い物かごに入れてみたい 
 それ憧れる...
 ゆかりちゃんちも結構きついでしょ？
 そうだね...でも最近ちょっと余裕ができたかな
 え？なんで？
 実は...半年前から副業始めて
 えっ副業？！パートとか？
 ううん、AI副業。それで最近ちょっと余裕出てきて...
 AI副業？何それ？稼げるの？
 今月20万くらい稼げて
 20万？！ウソでしょ？！どこで覚えたのそんなの？
 SHIFT AIっていうところの無料セミナーで教えてもらったの
 無料？怪しくない？
 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
まじか。。！
今ではたまに外食もできるようになったよ
 すごすぎる...
 しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
 それ私も受けたい！
 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.07%,1.63%,4.42%,5,0.072%
"""【めっちゃバカそうなギャルが実は…】
大学の授業ってやっぱ難しいのかな～""
おいっす～、SHIBUYA出身のレイカで～す
（うわ俺のキャンパスライフ終わった～、レポートとか絶対押し付けられるやつじゃん）
うちが隣になったからには大学生活超充実させちゃうよん
""（まぁでもそういうことなら悪くないか（下心））
先生：じゃあ早速だけど、課題出すから来週までにやってきてなー""
ほーい、終わったー
""（初日から課題とかマジか、絶対パシられるーって）
え？もう終わったの？""
うんほら、ついでに先生女装させてやったｗ
え、スゴ、でもこの短時間でどうやって？
""資料系はClaudeにまとめて入れただけ、それをGensparkに入れたらこのスライドができたの
もしかしてオタク君AI使えない系？ｗ""
""（AIって難しそうだし、どこで勉強すればいいかもわからないんだよな…）
僕みたいなオタクにはもう遅いかな""
それならここの無料セミナー行った方が良いよ！
たった2時間でAIの使い方から副業で月10万稼ぐ方法とか教えてくれるから！
2時間無料はありがたいけど、本当にそれでAI身につけられるの？
""大丈夫！60歳のおじいちゃんでも15万とか稼いでるんだよ？
おじいちゃんに出来てオタク君に出来ないことないでしょ！""
確かにそれなら僕にもできるかも、、
""でしょ？ｗ
この無料セミナーこれまでに10万人以上参加した超人気セミナーだから、興味あるなら早めに申し込んだ方が良いかも""",0.02%,2.22%,1.10%,4,0.024%
"""AI副業に
興味がある皆さん！""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.08%,0.90%,9.30%,4,0.084%
"""質問来てた！
副業始めたいのですが、月15万円以上稼げる副業ってありますか？""


結論から言うと
令和の時代に賢く稼ぐなら、AIを使った副業が一番！


今AIがめちゃくちゃバズってて、AI使える人が全然足りないから
簡単なAI作業でも時給が他の副業より圧倒的に高いんだよね

でも「AIって難しそう...」「パソコン苦手だし...」って思うでしょ？

そんなあなたにSHIFT AIがおすすめ！
あのキングコング西野さんも認めたAI専門家の木内さんが
たった2時間でAIの使い方から稼ぎ方まで教えてくれるよ

実際に参加した人の中には、3ヶ月目で20万、半年で100万稼いでる人も続出してるんだよね！

しかも、通常10,000円のところ今だけ無料みたいよ

令和の時代に効率よく稼ぎたいなら
AI副業一択だよ
したの詳細からチェックしてみて！",0.06%,1.02%,5.88%,4,0.060%
"AI副業で稼ごうとしてる人、絶対やめて
AI副業で稼げない人の衝撃の共通点は〇〇
実は一般的なAI副業スクールで稼げない原因は「サポート不足」
今の時代ではAIを知ってるふうに発信すれば誰でも稼げるため
大半のAIスクールがサポート不足で、稼げない人が続出している
""そんな中
Xのフォロワー10万人超えのAI専門家で、あのキングコング西野さんも認めた木内翔太氏が、
「日本をAI先進国に」という思いで監修した""
この「2時間オンラインセミナー」を受ければ 
AI初心者でも月15万以上稼げる仕組みがスルッと理解できる
実際参加した人の中には、
４ヶ月で月収100万とか、半年で250万稼ぐ人も続出
""しかもSHIFT AIでは
実際に仕事を取ってくるところまで完全サポート""
だから学んで終わりではなく、確実に収入に繋げられる
実はこのセミナー、通常1万円のところ今だけ無料で公開中 
予約枠が埋まり次第即終了なので 
急いで詳細だけでもチェック
",0.08%,1.27%,6.35%,4,0.081%
"""AI使ってないサラリーマン
一年後仕事なくなるかもしれんぞ""
""マッキンゼーの調査によると、
今後5年でに8億人分の仕事がAIで自動化されると予想されていて
すでにGoogleやAmazonなどでは1万人規模の人材解雇が起きています""
とは言ってもAIを実務にどう活かしたらいいかなんて分からない…
でもこれからはAIを使えないと、出世コースから外れて、同期や部下にどんどん追い越されてしまう…
""そうならないためにもこれ受けてみて
ここの無料セミナーが一番コスパ良いから""
たった2時間でAIを実務にどう活かすか教えてくれるから、明日からの仕事10倍楽にできちゃいます！
""実際にこの無料セミナーに参加した人の中には
完全未経験からプロンプトエンジニアになった人や
AIコンサルタントへ転身した人も！""
""実はこれ
日本最大級のAIコミュニティを持つSHIFT AIが運営していて
""
木内さんの「日本をAI先進国に」という想いから10,000円相当のセミナーが今だけ完全無料で参加できちゃいます
しかも今だけ参加者限定でAIツール辞典などの12大特典も！
枠が埋まったら即終了なのでAIで周りと差をつけたい人は詳細からセミナー予約してみて！",0.08%,1.75%,4.60%,4,0.080%
"またスーパーで特売品ばかり狙っちゃった...
 わかる...
 値段見ないで買い物してみたいわ。隣の奥さんとか、いつも高級スーパーで買い物してるの見ると羨ましい
 余裕だよね...
 ゆかりちゃんちも結構きついでしょ？
 そうだね...でも最近ちょっと余裕ができたかな
 え？なんで？
 実は...半年前から副業始めて
 えっ副業？！パートとか？
 ううん、AI副業。それで最近ちょっと余裕出てきて...
 AI副業？何それ？稼げるの？
 今月20万くらい稼げて
 20万？！ウソでしょ？！どこで覚えたのそんなの？
 SHIFT AIっていうところの無料セミナーで教えてもらったの
 無料？怪しくない？
 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
まじか。。！
今ではたまに外食もできるようになったよ
 すごすぎる...
 しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.06%,1.67%,3.51%,4,0.059%
"""８時間かかる仕事が
AIで30分で終わる時代に""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、AI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってみてください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるので""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『AI副業案件集』などの12大特典がもらえるので、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.10%,1.33%,7.55%,4,0.100%
"""貯金額が可視化されたらどうなるのか
A： もう...ほんっと今月カツカツでさ...（150万）
B： そうだよね...（600万→601万）+10,000
A： 夫の給料変わんないのに、ほんとに最近物価高くて...スーパー行くたびにビックリするもん（150万）
B： 分かる...（601万→603万）+20,000みたいな
A： ゆかりちゃんちは最近どう...？（150万）""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.02%,1.86%,0.83%,4,0.015%
"""副業で月7桁稼げるようになる
最新AIはコレ""
例えば
""Perplexityは
情報検索に特化していて""
""市場調査や競合分析を
ChatGPTの10倍早く
正確にまとめてくれるし""
""Gensparkを使えば
3日かかるスライドが
たった5分で作れる""
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
""そこで日本最大級のAIコミュニティの
無料AIセミナーが現在開催中""
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
講義の質が高いとの声も""
""今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.06%,1.56%,3.60%,4,0.056%
"""まだChatGPTしか使ってない人
正直時代遅れです""
例えば
""Claudeは
情報分析に特化していて""
""資料の読み込みを行うだけで
具体のアクションの
提案までしてくれるし""
""Gammaは
高品質なスライドを
たった5分で作れる""
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
""そこで日本最大級のAIコミュニティの
無料AIセミナーが現在開催中""
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
講義の質が高いとの声も""
""今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.04%,1.93%,2.02%,4,0.039%
"はぁ、また今日も終電か...
こんだけ働いても給料据え置きしんどいわ...
久しぶり。私は5年後の君だよ。警告しに来た。
5年後の俺？
これが5年後の君の現実だ。
AIに仕事を奪われて、収入激減。
なぜこんなことが...
AIを学ばずに、時代に取り残されたから。
こんな未来が待ってるのか...
でも、SHIFT AIでAI副業を学んでいれば、
月収3倍、完全自由な生活を手に入れた。
たった2時間のセミナーで、こんなに変わるなんて。
何もしないと未来は暗いまま。
AIを味方につければ、未来は変わる。
AI専門家の木内翔太先生の無料セミナーで全部教えてくれる。
このチャンスを逃したら手遅れだぞ。
こんな未来は嫌だ！
次会う時は、自由な君でいてくれ。
SHIFT AIの無料セミナーに参加して、未来を変えませんか？
今すぐ動画下から詳細確認してください。",0.16%,1.79%,8.70%,4,0.156%
