台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""A：はぁ～、今月ほんとにヤバいかも...
B：そうだよね
A：子供の塾代もばかにならないし、でもあの子のこと考えたら夏期講習とかも通わせてあげたいし
B：分かる...
A：ゆかりちゃんちは最近どう...？""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.13%,2.38%,5.54%,411,0.132%
"""実は私、
これで月15万稼いでます""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.20%,1.90%,10.44%,379,0.198%
"""SHIFTAI
気になっている人
絶対やめて""
""たしかに
テレビでもオススメされてるし""
""たった2時間で
AIの使い方から月10万までの
稼ぎ方が知れて""
""40代パートの私でも
月収50万達成できたんだけど""
それでも後悔してる
""だって今なら
ここのセミナー、無料で参加できるんだよ!?""
""私が出会ったときは
1万円以上かかったのに...""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.35%,1.98%,17.84%,344,0.354%
"""まだChatGPTしか使ってない人
正直時代遅れです""
例えばPerplexityは情報検索に特化していて、市場調査や競合分析をChatGPTの10倍早く正確にまとめてくれるし
Gensparkを使えば3日かかるようなスライドがたった5分で作れるようになる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前に下の詳細から""",0.20%,2.54%,7.81%,331,0.198%
"""A：はぁ～、今月ほんとにギリギリで...
B：そうよね
A：お給料はずっと変わらないし、ボーナスも全然貰えなくて…
B：分かる...
A：ゆかりさんは最近どうですか...？""
B： そうね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるんですか？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとかですか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何ですかそれ？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃないですか！どこで知ったんですか？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しい…？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.13%,1.88%,7.00%,328,0.131%
"知らないと損するよ！
""40代パートの私が
AI副業を始めて遂に月収50万""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.33%,2.65%,12.35%,262,0.328%
"""ChatGPTを超えた
知らなきゃ時代遅れのAIがコレ""
""それがこのマナスというAI
これ一つあれば一言指示するだけで
高精度な画像生成から
レーダーチャートの生成
さらに編集可能なスライドまで作成してくれる""

このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前に下の詳細から確認""",0.21%,2.89%,7.20%,240,0.208%
"旦那の給料が低すぎる
実はもうAIを使える主婦は、家事の合間に旦那の2倍稼いでます
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんてないじゃないですか
なので、旦那の給料に不満がある人はこのセミナー無料で参加できるので試してみてください
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたので、参加して大正解でした
""実際に、この無料セミナーに参加した人の中には
4ヶ月で月収100万とか約1ヶ月で250万稼いでる人もいます""
実はこれXのフォロワーが10万人以上いるAI専門家の木内さんが運営してるセミナーで
木内さんの「日本をAI先進国に」という想いから今だけ完全無料で参加できるらしいです
""しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるんで、次の日から収益化目指せちゃいます""
オンラインで顔出し不要なので、そういうのが苦手な人でも安心です
これまで10万人以上が参加した人気無料セミナーなので、AIで旦那の給料超えたい人はLINE追加して無料セミナー予約してみてください",0.24%,2.46%,9.85%,229,0.243%
"""A：はぁ～、今月ほんとにヤバいかも...
B：そうだよね
A：お米とか高すぎて、食べたくても全然買えないし
B：分かる...
A：ゆかりちゃんちは最近どう...？""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.10%,2.23%,4.66%,180,0.104%
"今月あと10000円で乗り切らなきゃ...（時給：0円表示）
きついよね....（時給：3,000円表示、カウンター回転中）
物価ばっかり上がって、給料変わんないとかマジでキツイよ......
ほんとそうだよね...（時給：3,000円→3,100円に上昇）
 ゆかりちゃんちは最近どう...？（時給：0円）
 そうだね...でも最近ちょっと余裕ができたかな（時給：3,100円→3,000円）
 え、てかさっきから頭の上の数字増えてるけど、、時給3000円って何？（時給：0円）
 実は...半年前から副業始めて（時給：3,000円→3,200円）
 えっ副業？！パートとか？（時給：0円）
 ううん、AI副業。それで最近ちょっと余裕出てきて...（時給：3,200円→3,100円）
 AI副業？何それ？稼げるの？（時給：0円）
 うん、こうしてる間もAIが勝手に稼いでくれる、ほら！時給も上がってく（時給：3,100円→3,300円）
 え、、お茶飲んでるだけなのに。。どこで覚えたのそんなの？
 SHIFT AIっていうところの無料セミナーで教えてもらったの
 無料？怪しくない？
 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね
 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの
 まじか。。！
 今ではたまに外食もできるようになったよ
 すごすぎる...
 しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.14%,2.11%,6.80%,157,0.144%
"""AI副業始めたら
パート行かなくてよくなった話""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.31%,2.50%,12.38%,152,0.309%
"""40代パートの私が
AI副業を始めて遂に月収50万""
""これ、テレビでも
オススメされてたんですけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるんすか...？
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全く無かったんすよね""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.32%,2.70%,11.82%,116,0.320%
"""AI副業のおかげで
ついに会社やめちゃいました""
正直、自分でも驚いてます
""数年前まではAI副業って何？怪しくない？
って感じだったのに""
""今ではダラダラしてるだけで
上司より稼げちゃうのヤバくないっすか？""
""AIとか難しそう、怪しいって
思ってる人は""
""自己流で勉強して損する前に
ここの無料セミナーに参加してみてください""
私も実際に参加してみたら
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れたんで""
控えめに言って神です
実際に、参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営してるセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいんすよね""
しかも今だけ参加者限定で
""「AI副業案件集」などの豪華12大特典がもらえるから
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できちゃいます""
枠が埋まったら即終了らしいんで
""AI身につけたい人は
今すぐLINE追加してみてください""",0.17%,1.71%,10.20%,92,0.175%
"""SHIFTAI
参加して""
マジで後悔しています
""たしかに
テレビでもオススメされてるし""
""たった2時間で
AIの使い方から月10万までの
稼ぎ方が知れて""
""40代パートの私でも
月収50万達成できたんだけど""
それでも...
""SHIFTAI参加して
後悔しています""
""だって今なら
無料でAIの使い方から
月10万までの稼ぎ方が知れるから""
""私が出会ったのは
この2時間無料オンラインセミナー""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.41%,2.18%,19.05%,88,0.415%
"""実は私、
これで月15万稼いでます""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.07%,1.22%,6.12%,88,0.075%
"""35歳バツイチ2児のママ
AI副業始めてついに月収50万""
""これテレビでもオススメされてたんだけど
家事の合間とかスキマ時間に
スマホで決まった文章コピペするだけ
こんなに貰えるの…！？""
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんて全くありませんでした…
そこで出会ったのがこの無料オンラインセミナー
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたので、参加して大正解でした
""実際に、この無料セミナーに参加した人の中には
3週間で月収7万、約1ヶ月で20万かせいでる人もいます""
実はこれXのフォロワーが10万人以上いるAI専門家の木内さんが運営していて
木内さんの「日本をAI先進国に」という想いから今だけ完全無料で参加できるらしいです
""しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるんで、次の日から収益化目指せちゃいます""
オンラインで顔出し不要なので、そういうのが苦手な人でも安心です
これまで10万人以上が参加した人気無料セミナーなので、AI副業少しでも気になる人は無料セミナーだけでも予約してみてください",0.25%,2.23%,11.11%,74,0.247%
